 TRANSITION QUAERUPOLAIRES EANS L'ETAT X EE H2
   PROBABILITES E'EMISSION
  VU  VL  JU        S              Q              O
   4   2   0   0.000000E+00   0.000000E+00   0.160059E-05
   4   2   1   0.000000E+00   0.845641E-06   0.772352E-06
   4   2   2   0.527674E-06   0.601962E-06   0.519855E-06
   4   2   3   0.759729E-06   0.558823E-06   0.369434E-06
   4   2   4   0.919683E-06   0.540313E-06   0.264931E-06
   4   2   5   0.103354E-05   0.528322E-06   0.189156E-06
   4   2   6   0.110564E-05   0.518253E-06   0.133849E-06
   4   2   7   0.113628E-05   0.508444E-06   0.937734E-07
   4   2   8   0.112611E-05   0.498108E-06   0.650999E-07
   4   2   9   0.107756E-05   0.486821E-06   0.448750E-07
   4   2  10   0.995081E-06   0.474323E-06   0.307993E-07
   4   2  11   0.885018E-06   0.460446E-06   0.211272E-07
   4   2  12   0.755156E-06   0.444986E-06   0.145496E-07
   4   2  13   0.614203E-06   0.427879E-06   0.101109E-07
   4   2  14   0.470918E-06   0.409078E-06   0.712932E-08
   4   2  15   0.334200E-06   0.388600E-06   0.512900E-08
   4   2  16   0.212500E-06   0.366500E-06   0.378400E-08
   4   2  17   0.113100E-06   0.342900E-06   0.287300E-08
   4   2  18   0.423700E-07   0.318000E-06   0.224700E-08
   4   2  19   0.505500E-08   0.292100E-06   0.180600E-08
   4   2  20   0.440100E-08   0.265100E-06   0.148300E-08
   4   2  21   0.420500E-07   0.237400E-06   0.123100E-08
   4   2  22   0.118200E-06   0.208900E-06   0.101800E-08
   4   2  23   0.231800E-06   0.179900E-06   0.826000E-09
   4   2  24   0.380300E-06   0.150400E-06   0.643400E-09
   4   2  25   0.558700E-06   0.121000E-06   0.468400E-09
   4   3   0   0.000000E+00   0.000000E+00   0.132144E-05
   4   3   1   0.000000E+00   0.633204E-06   0.667219E-06
   4   3   2   0.349045E-06   0.444915E-06   0.463461E-06
   4   3   3   0.451182E-06   0.405123E-06   0.335156E-06
   4   3   4   0.479465E-06   0.381731E-06   0.240883E-06
   4   3   5   0.459722E-06   0.361411E-06   0.169443E-06
   4   3   6   0.403877E-06   0.341070E-06   0.115821E-06
   4   3   7   0.322923E-06   0.319822E-06   0.765756E-07
   4   3   8   0.229304E-06   0.297516E-06   0.487723E-07
   4   3   9   0.136751E-06   0.274282E-06   0.297918E-07
   4   3  10   0.594387E-07   0.250382E-06   0.173554E-07
   4   3  11   0.107665E-07   0.226137E-06   0.957084E-08
   4   3  12   0.223563E-08   0.201894E-06   0.494502E-08
   4   3  13   0.425336E-07   0.177997E-06   0.235879E-08
   4   3  14   0.136917E-06   0.154775E-06   0.101630E-08
   4   3  15   0.286900E-06   0.132500E-06   0.382300E-09
   4   3  16   0.490300E-06   0.111500E-06   0.118600E-09
   4   3  17   0.741200E-06   0.920400E-07   0.273400E-10
   4   3  18   0.103100E-05   0.742200E-07   0.373200E-11
   4   3  19   0.134700E-05   0.582700E-07   0.154900E-12
   4   3  20   0.167400E-05   0.442900E-07   0.970900E-17
   4   3  21   0.199600E-05   0.323600E-07   0.000000E+00
   4   3  22   0.229200E-05   0.225000E-07   0.000000E+00
   4   3  23   0.254100E-05   0.146500E-07   0.000000E+00
   4   3  24   0.271900E-05   0.872800E-08   0.000000E+00
   4   3  25   0.279900E-05   0.455600E-08   0.000000E+00
   4   4   2   0.197737E-10   0.000000E+00   0.000000E+00
   4   4   3   0.316635E-09   0.000000E+00   0.000000E+00
   4   4   4   0.180416E-08   0.000000E+00   0.000000E+00
   4   4   5   0.631428E-08   0.000000E+00   0.000000E+00
   4   4   6   0.165560E-07   0.000000E+00   0.000000E+00
   4   4   7   0.357808E-07   0.000000E+00   0.000000E+00
   4   4   8   0.672468E-07   0.000000E+00   0.000000E+00
   4   4   9   0.113618E-06   0.000000E+00   0.000000E+00
