@Levels of the SO molecule
#489          # Number of levels
#K            # Energy Unit
#3            # Number of quantum number
#v            # Vibrational quantum number
#N            # Rotationnal moment
#J            # Total angular momentum - J = N + S
# n      g       E(K)                  OP   v    N    J     E(cm-1)
#---data read without format ----------#------ READ WITH FORMAT -----------
  456     69.0        4476.902750      n    2   34   34  3111.603210
  457     73.0        4539.482323      n    2   35   36  3155.098191
  458     69.0        4540.671314      n    2   35   34  3155.924581
  459    135.0        4540.721240      n    0   66   67  3155.959281
  460    131.0        4542.126523      n    0   66   65  3156.936002
  461     71.0        4547.777760      n    2   35   35  3160.863808
  462    133.0        4549.086251      n    0   66   66  3161.773255
  463    109.0        4561.583608      n    1   53   54  3170.459353
  464    105.0        4562.859250      n    1   53   52  3171.345969
  465    107.0        4569.904813      n    1   53   53  3176.242880
  466     75.0        4612.363897      n    2   36   37  3205.753421
  467     71.0        4613.553322      n    2   36   35  3206.580113
  468     73.0        4620.661099      n    2   36   36  3211.520265
  469    111.0        4671.220692      n    1   54   55  3246.660942
  470    107.0        4672.506139      n    1   54   53  3247.554372
  471    137.0        4677.170968      n    0   67   68  3250.796591
  472    133.0        4678.588778      n    0   67   66  3251.782018
  473    109.0        4679.548556      n    1   54   54  3252.449097
  474    135.0        4685.544307      n    0   67   67  3256.616353
  475     77.0        4687.251957      n    2   37   38  3257.803229
  476     73.0        4688.442697      n    2   37   36  3258.630835
  477     75.0        4695.551362      n    2   37   37  3263.571604
  478     79.0        4764.145085      n    2   38   39  3311.246629
  479     75.0        4765.337954      n    2   38   37  3312.075714
  480     77.0        4772.447097      n    2   38   38  3317.016816
  481    113.0        4782.848934      n    1   55   56  3324.246455
  482    109.0        4784.144458      n    1   55   54  3325.146889
  483    111.0        4791.183621      n    1   55   55  3330.039352
  484    139.0        4815.597333      n    0   68   69  3347.007732
  485    135.0        4817.027824      n    0   68   67  3348.001973
  486    137.0        4823.979106      n    0   68   68  3352.833356
  487     81.0        4843.041821      n    2   39   40  3366.082606
  488     77.0        4844.237568      n    2   39   38  3366.913692
  489     79.0        4851.346818      n    2   39   39  3371.854868
#---data read without format ----------#------ READ WITH FORMAT -----------
# Reference: Peter Bernath et al., JQSRT (2022) 290, 108317
# Data from file "SO X-X linelist.csv", taken from ScienceDirect_files_19Oct2023_13-06-26 (original source)
# Conversion to K by J. Le Bourlot on 2 II 2024, using hcsurk = 1.43877687750393
# Compatible with CDMS data for all v = 0 levels in common
