|        ID|    Wave|  vu|  Ju| Fs140|e_Fs140|Fngc2023|e_Fngc2023| Fic63|e_Fic63|Fhorse|e_Fhorse|Forionbar|e_Forionbar|Transition|    Line|
|      char|  double|long|long|double| double|  double|    double|double| double|double|  double|   double|     double|      char|    char|
|          |        |    |    |      |       |        |          |      |       |      |        |         |           |          |        |
|      null|    null|null|null|  null|   null|    null|      null|  null|   null|  null|    null|     null|       null|      null|    null|
   8-6 Q(9) 2.086607    8    9   null    null     0.03      0.004   null    null   null     null     0.025       0.004   8-6 Q(9)   H286Q9 
   8-6 S(7) 1.651474    8    9   null    null    0.043      0.004   null    null   null     null      null        null   8-6 S(7)   H286S7 
  8-6 Q(11) 2.199456    8   11   null    null    0.023      0.003   null    null   null     null      null        null  8-6 Q(11)  H286Q11 
   9-7 O(2) 2.172715    9    0  0.137   0.013    0.106      0.011  0.104   0.013  0.152    0.016     0.052       0.005   9-7 O(2)   H297O2 
   9-7 Q(1) 2.073187    9    1   null    null    0.174      0.017  0.128   0.015  0.169    0.018     0.085       0.007   9-7 Q(1)   H297Q1 
   9-7 O(3) 2.253724    9    1  0.189   0.019    0.171      0.018  0.137   0.017  0.153    0.018     0.102       0.009   9-7 O(3)   H297O3 
   9-7 O(4) 2.345581    9    2  0.111   0.012    0.096       0.01  0.085   0.012  0.164     0.02      null        null   9-7 O(4)   H297O4 
   9-7 Q(2) 2.084098    9    2  0.116   0.011    0.086      0.009  0.068    0.01   0.17    0.023     0.055       0.006   9-7 Q(2)   H297Q2 
   9-7 S(0)  1.98735    9    2  0.089   0.008     0.07      0.007  0.061   0.008  0.135    0.013      0.04       0.004   9-7 S(0)   H297S0 
   9-7 Q(3) 2.100664    9    3   0.09   0.009    0.096       0.01   0.07   0.009  0.135    0.013     0.056       0.005   9-7 Q(3)   H297Q3 
   9-7 S(1) 1.942958    9    3   null    null    0.104       0.01   null    null   null     null      null        null   9-7 S(1)   H297S1 
   9-6 O(5) 1.475519    9    3   null    null    0.063      0.006   null    null   null     null      null        null   9-6 O(5)   H296O5 
   9-7 O(5) 2.449297    9    3  0.082   0.012    0.082      0.011   null    null   null     null      null        null   9-7 O(5)   H297O5 
   9-7 Q(4) 2.123137    9    4  0.037   0.004    0.038      0.004  0.026   0.005   null     null      null        null   9-7 Q(4)   H297Q4 
   9-7 Q(5) 2.151876    9    5   0.04   0.004    0.052      0.005  0.034   0.005   null     null     0.042       0.004   9-7 Q(5)   H297Q5 
   9-7 Q(7) 2.230268    9    7  0.025   0.004     null       null   null    null   null     null      null        null   9-7 Q(7)   H297Q7 
   9-7 Q(8) 2.281426    9    8   null    null    0.016      0.003   null    null   null     null      null        null   9-7 Q(8)   H297Q8 
  10-7 O(2) 1.508549   10    0  0.113   0.008    0.104      0.008  0.096   0.013   null     null      null        null  10-7 O(2)  H2107O2 
  10-7 O(3) 1.548849   10    1  0.126   0.009     0.12      0.009  0.101   0.011   null     null      null        null  10-7 O(3)  H2107O3 
  10-7 Q(1) 1.461391   10    1   null    null    0.167      0.013   null    null   null     null      null        null  10-7 Q(1)  H2107Q1 
  10-8 Q(1) 2.322474   10    1  0.086    0.01    0.093      0.011  0.057   0.013   null     null      null        null  10-8 Q(1)  H2108Q1 
  10-7 O(4) 1.595267   10    2  0.079   0.006    0.075      0.006  0.063   0.008   null     null      null        null  10-7 O(4)  H2107O4 
  10-8 Q(2) 2.337184   10    2   0.04   0.005     0.05      0.006  0.045   0.008   null     null      null        null  10-8 Q(2)  H2108Q2 
  10-8 S(0) 2.225259   10    2  0.032   0.004    0.026      0.003   null    null   null     null      null        null  10-8 S(0)  H2108S0 
  10-7 Q(3) 1.482704   10    3   null    null    0.079      0.007   null    null   null     null      null        null  10-7 Q(3)  H2107Q3 
  10-8 S(1) 2.176855   10    3   0.04   0.004     0.05      0.005  0.044   0.006   0.08    0.011     0.041       0.004  10-8 S(1)  H2108S1 
  10-8 Q(3) 2.359611   10    3  0.047   0.006     0.04      0.005   null    null   null     null      null        null  10-8 Q(3)  H2108Q3 
  10-7 O(5) 1.648305   10    3   0.05   0.004    0.056      0.005   null    null   null     null     0.058       0.004  10-7 O(5)  H2107O5 
  10-7 O(6) 1.708625   10    4   null    null    0.015      0.002   null    null   null     null      null        null  10-7 O(6)  H2107O6 
  10-7 Q(4) 1.500204   10    4   null    null     0.05      0.004   null    null   null     null      null        null  10-7 Q(4)  H2107Q4 
  10-8 Q(4) 2.390217   10    4   null    null    0.027      0.004   null    null   null     null      null        null  10-8 Q(4)  H2108Q4 
  10-8 S(2) 2.138639   10    4  0.013   0.003    0.018      0.002   null    null   null     null      null        null  10-8 S(2)  H2108S2 
  10-8 Q(5) 2.429671   10    5  0.025   0.004    0.024      0.004   null    null   null     null      null        null  10-8 Q(5)  H2108Q5 
  10-7 Q(7) 1.584507   10    7   null    null    0.034      0.003   null    null   null     null      null        null  10-7 Q(7)  H2107Q7 
  10-7 Q(9) 1.674084   10    9   null    null    0.017      0.002   null    null   null     null      null        null  10-7 Q(9)  H2107Q9 
  11-8 O(2) 1.712094   11    0  0.101   0.008    0.069      0.006   0.08   0.009   null     null      null        null  11-8 O(2)  H2118O2 
  11-8 O(3) 1.760924   11    1  0.111   0.009    0.103      0.009  0.071   0.009   null     null      null        null  11-8 O(3)  H2118O3 
  11-8 Q(1) 1.657102   11    1  0.099   0.007    0.104      0.008   null    null   null     null     0.046       0.003  11-8 Q(1)  H2118Q1 
  11-8 S(0) 1.611071   11    2   null    null    0.042      0.004   null    null   null     null      null        null  11-8 S(0)  H2118S0 
  11-8 S(1) 1.591504   11    3  0.064   0.005    0.079      0.006  0.072   0.008   null     null     0.048       0.003  11-8 S(1)  H2118S1 
  11-8 Q(3) 1.687033   11    3  0.041   0.004    0.055      0.005   null    null   null     null      null        null  11-8 Q(3)  H2118Q3 
  11-8 S(2)  1.57883   11    4  0.029   0.003    0.038      0.003   null    null   null     null      null        null  11-8 S(2)  H2118S2 
  11-8 Q(4) 1.711844   11    4   null    null     0.02      0.002   null    null   null     null      null        null  11-8 Q(4)  H2118Q4 
  11-8 S(3) 1.573164   11    5   null    null    0.047      0.004  0.046   0.007   null     null     0.068       0.004  11-8 S(3)  H2118S3 
  11-8 Q(5) 1.744026   11    5  0.029   0.003    0.023      0.002   null    null   null     null      null        null  11-8 Q(5)  H2118Q5 
  11-8 S(4)  1.57479   11    6   null    null    0.016      0.002   null    null   null     null      null        null  11-8 S(4)  H2118S4 
  12-9 O(2) 2.007052   12    0   null    null    0.039      0.004  0.136   0.022   null     null      null        null  12-9 O(2)  H2129O2 
  12-9 O(3) 2.069972   12    1  0.084   0.008    0.065      0.007  0.061   0.008   null     null      0.03       0.003  12-9 O(3)  H2129O3 
